New York,New York,8491079,40°39′51″N,73°56′19″W
Los Angeles,California,3928864,34°01′10″N,118°24′39″W
Chicago,Illinois,2722389,41°50′15″N,87°40′54″W
Houston,Texas,2239558,29°46′50″N,95°23′11″W
Philadelphia,Pennsylvania,1560297,40°00′34″N,75°08′00″W
Phoenix,Arizona,1537058,33°34′20″N,112°05′17″W
San Antonio,Texas,1436697,29°28′21″N,98°31′30″W
San Diego,California,1381069,32°48′55″N,117°08′06″W
Dallas,Texas,1281047,32°46′33″N,96°47′48″W
San Jose,California,1015785,37°17′49″N,121°49′09″W
Austin,Texas,912791,30°18′26″N,97°45′22″W
Jacksonville,Florida,853382,30°20′13″N,81°39′41″W
San Francisco,California,852469,37°46′30″N,122°25′09″W
Indianapolis,Indiana,848788,39°46′36″N,86°08′45″W
Columbus,Ohio,835957,39°59′05″N,82°59′06″W
Fort Worth,Texas,812238,32°46′46″N,97°20′47″W
Charlotte,North Carolina,809958,35°12′31″N,80°49′51″W
Detroit,Michigan,680250,42°22′59″N,83°06′08″W
El Paso,Texas,679036,31°50′54″N,106°25′37″W
Seattle,Washington,668342,47°37′14″N,122°21′03″W
Denver,Colorado,663862,39°45′42″N,104°52′50″W
Washington,District of Columbia,658893,38°54′15″N,77°01′02″W
Memphis,Tennessee,656861,35°06′13″N,89°58′43″W
Boston,Massachusetts,655884,42°19′55″N,71°01′13″W
Nashville,Tennessee,644014,36°10′18″N,86°47′06″W
Baltimore,Maryland,622793,39°18′01″N,76°36′38″W
Oklahoma City,Oklahoma,620602,35°28′02″N,97°30′49″W
Portland,Oregon,619360,45°32′13″N,122°39′00″W
Las Vegas,Nevada,613599,36°13′40″N,115°15′50″W
Louisville,Kentucky,612780,38°10′41″N,85°40′00″W
Milwaukee,Wisconsin,599642,43°03′48″N,87°58′00″W
Albuquerque,New Mexico,557169,35°06′20″N,106°38′51″W
Tucson,Arizona,527972,32°09′15″N,110°52′16″W
Fresno,California,515986,36°46′58″N,119°47′40″W
Sacramento,California,485199,38°34′00″N,121°28′07″W
Long Beach,California,473577,33°48′33″N,118°09′19″W
Kansas City,Missouri,470800,39°07′31″N,94°33′04″W
Mesa,Arizona,464704,33°24′07″N,111°43′03″W
Atlanta,Georgia,456002,33°45′46″N,84°25′22″W
Virginia Beach,Virginia,450980,36°46′45″N,76°01′26″W
Omaha,Nebraska,446599,41°15′53″N,96°02′31″W
Colorado Springs,Colorado,445830,38°52′02″N,104°45′39″W
Raleigh,North Carolina,439896,35°49′49″N,78°38′29″W
Miami,Florida,430332,25°46′31″N,80°12′31″W
Oakland,California,413775,37°46′12″N,122°13′32″W
Minneapolis,Minnesota,407207,44°57′48″N,93°16′06″W
Tulsa,Oklahoma,399682,36°07′40″N,95°54′08″W
Cleveland,Ohio,389521,41°28′41″N,81°40′46″W
Wichita,Kansas,388413,37°41′27″N,97°20′34″W
New Orleans,Louisiana,384320,30°04′07″N,89°56′20″W
Arlington,Texas,383204,32°42′03″N,97°07′29″W
Bakersfield,California,368759,35°19′16″N,119°01′06″W
Tampa,Florida,358699,27°58′12″N,82°28′47″W
Aurora,Colorado,353108,39°42′30″N,104°49′25″W
Honolulu,Hawai'i,350399,21°19′33″N,157°50′43″W
Anaheim,California,346997,33°51′20″N,117°45′36″W
Santa Ana,California,334909,33°44′11″N,117°52′57″W
Corpus Christi,Texas,320434,27°45′15″N,97°10′24″W
Riverside,California,319504,33°56′17″N,117°23′36″W
St. Louis,Missouri,317419,38°38′09″N,90°14′41″W
Lexington,Kentucky,310797,38°02′25″N,84°27′30″W
Pittsburgh,Pennsylvania,305412,40°26′23″N,79°58′36″W
Stockton,California,302389,37°58′35″N,121°18′48″W
Anchorage,Alaska,301010,61°13′03″N,149°53′43″W
